country,country_code,city,latitude,longitude,geo_point
France,FR,Cannes,43.5528,7.01737,"{'type': 'point', 'coordinates': [43.5528, 7.01737]}"
France,FR,Calvisson,43.787,4.19626,"{'type': 'point', 'coordinates': [43.787, 4.19626]}"
France,FR,Florac,44.3263,3.59276,"{'type': 'point', 'coordinates': [44.3263, 3.59276]}"
France,FR,Alès,44.1249,4.08082,"{'type': 'point', 'coordinates': [44.1249, 4.08082]}"
France,FR,Quissac,43.9107,4.00102,"{'type': 'point', 'coordinates': [43.9107, 4.00102]}"
France,FR,Lédignan,43.9886,4.10683,"{'type': 'point', 'coordinates': [43.9886, 4.10683]}"
France,FR,Ners,44.0269,4.1589,"{'type': 'point', 'coordinates': [44.0269, 4.1589]}"
France,FR,Corconne,43.8723,3.93959,"{'type': 'point', 'coordinates': [43.8723, 3.93959]}"
France,FR,Agde,43.3108,3.47583,"{'type': 'point', 'coordinates': [43.3108, 3.47583]}"
France,FR,Murviel-lès-Béziers,43.4333,3.13333,"{'type': 'point', 'coordinates': [43.4333, 3.13333]}"
France,FR,Lignan-sur-Orb,43.3839,3.16981,"{'type': 'point', 'coordinates': [43.3839, 3.16981]}"
France,FR,Tourbes,43.4462,3.37791,"{'type': 'point', 'coordinates': [43.4462, 3.37791]}"
France,FR,Axat,42.8041,2.23484,"{'type': 'point', 'coordinates': [42.8041, 2.23484]}"
France,FR,Chalabre,42.984,2.00611,"{'type': 'point', 'coordinates': [42.984, 2.00611]}"
France,FR,Carcassonne,43.2165,2.34863,"{'type': 'point', 'coordinates': [43.2165, 2.34863]}"
France,FR,Belvèze-du-Razès,43.1246,2.09487,"{'type': 'point', 'coordinates': [43.1246, 2.09487]}"
France,FR,Revel,43.4589,2.00437,"{'type': 'point', 'coordinates': [43.4589, 2.00437]}"
France,FR,Saint-Génis-des-Fontaines,42.5433,2.9206,"{'type': 'point', 'coordinates': [42.5433, 2.9206]}"
France,FR,Fourques,42.5817,2.77938,"{'type': 'point', 'coordinates': [42.5817, 2.77938]}"
France,FR,Ceret,42.4853,2.74804,"{'type': 'point', 'coordinates': [42.4853, 2.74804]}"
France,FR,Breteuil,49.6336,2.29509,"{'type': 'point', 'coordinates': [49.6336, 2.29509]}"
France,FR,Amiens,49.9,2.3,"{'type': 'point', 'coordinates': [49.9, 2.3]}"
France,FR,Courcy,49.3236,4.00257,"{'type': 'point', 'coordinates': [49.3236, 4.00257]}"
France,FR,Herlies,50.5775,2.85285,"{'type': 'point', 'coordinates': [50.5775, 2.85285]}"
France,FR,Abbeville,50.1052,1.83547,"{'type': 'point', 'coordinates': [50.1052, 1.83547]}"
France,FR,La Francheville,49.7292,4.71273,"{'type': 'point', 'coordinates': [49.7292, 4.71273]}"
France,FR,Lezennes,50.6155,3.11354,"{'type': 'point', 'coordinates': [50.6155, 3.11354]}"
France,FR,Paris,48.8566,2.35222,"{'type': 'point', 'coordinates': [48.8566, 2.35222]}"
France,FR,Avignonet-Lauragais,43.3667,1.78619,"{'type': 'point', 'coordinates': [43.3667, 1.78619]}"
France,FR,La Salvetat-Saint-Gilles,43.5762,1.27192,"{'type': 'point', 'coordinates': [43.5762, 1.27192]}"
France,FR,Mauvezin,43.7303,0.87784,"{'type': 'point', 'coordinates': [43.7303, 0.87784]}"
France,FR,Madiran,43.5508,-0.05808,"{'type': 'point', 'coordinates': [43.5508, -0.05808]}"
France,FR,Toulouse,43.6047,1.44421,"{'type': 'point', 'coordinates': [43.6047, 1.44421]}"
France,FR,Villenave-d'Ornon,44.7794,-0.56707,"{'type': 'point', 'coordinates': [44.7794, -0.56707]}"
France,FR,Thouars,46.9815,-0.21175,"{'type': 'point', 'coordinates': [46.9815, -0.21175]}"
France,FR,Bayonne,43.493,-1.47484,"{'type': 'point', 'coordinates': [43.493, -1.47484]}"
France,FR,Bordeaux,44.8378,-0.57918,"{'type': 'point', 'coordinates': [44.8378, -0.57918]}"
France,FR,Andernos-les-Bains,44.7457,-1.10355,"{'type': 'point', 'coordinates': [44.7457, -1.10355]}"
France,FR,Grignols,44.3879,-0.04382,"{'type': 'point', 'coordinates': [44.3879, -0.04382]}"
France,FR,Brioux-sur-Boutonne,46.1421,-0.22259,"{'type': 'point', 'coordinates': [46.1421, -0.22259]}"
France,FR,Izon,44.9205,-0.36212,"{'type': 'point', 'coordinates': [44.9205, -0.36212]}"
France,FR,Bressols,43.9681,1.33753,"{'type': 'point', 'coordinates': [43.9681, 1.33753]}"
France,FR,Vailhourles,44.3053,1.9067,"{'type': 'point', 'coordinates': [44.3053, 1.9067]}"
France,FR,Merville,43.7235,1.29656,"{'type': 'point', 'coordinates': [43.7235, 1.29656]}"
France,FR,Aubas,45.082,1.19085,"{'type': 'point', 'coordinates': [45.082, 1.19085]}"
France,FR,Marquay,44.9434,1.13446,"{'type': 'point', 'coordinates': [44.9434, 1.13446]}"
France,FR,Rouffiac,43.8834,2.06795,"{'type': 'point', 'coordinates': [43.8834, 2.06795]}"
France,FR,Sorèze,43.4529,2.06683,"{'type': 'point', 'coordinates': [43.4529, 2.06683]}"
France,FR,Saint-Loubès,44.9172,-0.42859,"{'type': 'point', 'coordinates': [44.9172, -0.42859]}"
France,FR,Grenoble,45.1787,5.71479,"{'type': 'point', 'coordinates': [45.1787, 5.71479]}"
France,FR,Saint-Martin-le-Vinoux,45.203,5.7163,"{'type': 'point', 'coordinates': [45.203, 5.7163]}"
France,FR,Les Allues,45.4325,6.55558,"{'type': 'point', 'coordinates': [45.4325, 6.55558]}"
France,FR,Saint-Martin-de-Belleville,45.3817,6.50519,"{'type': 'point', 'coordinates': [45.3817, 6.50519]}"
France,FR,Peisey-Nancroix,45.5465,6.75556,"{'type': 'point', 'coordinates': [45.5465, 6.75556]}"
France,FR,Fontcouverte-la Toussuire,45.25,6.3,"{'type': 'point', 'coordinates': [45.25, 6.3]}"
France,FR,Bourg-Saint-Maurice,45.6146,6.76845,"{'type': 'point', 'coordinates': [45.6146, 6.76845]}"
France,FR,Chevrières,45.1874,5.28874,"{'type': 'point', 'coordinates': [45.1874, 5.28874]}"
France,FR,Corenc,45.2189,5.76497,"{'type': 'point', 'coordinates': [45.2189, 5.76497]}"
France,FR,Vaulnaveys-le-Haut,45.1252,5.81723,"{'type': 'point', 'coordinates': [45.1252, 5.81723]}"
France,FR,Claix,45.1199,5.67292,"{'type': 'point', 'coordinates': [45.1199, 5.67292]}"
France,FR,Montbonnot-Saint-Martin,45.2254,5.8017,"{'type': 'point', 'coordinates': [45.2254, 5.8017]}"
France,FR,Le Bourg-d'Oisans,45.0548,6.03366,"{'type': 'point', 'coordinates': [45.0548, 6.03366]}"
France,FR,Apprieu,45.3959,5.49993,"{'type': 'point', 'coordinates': [45.3959, 5.49993]}"
France,FR,Voiron,45.3647,5.5856,"{'type': 'point', 'coordinates': [45.3647, 5.5856]}"
France,FR,Chazey-Bons,45.804,5.68236,"{'type': 'point', 'coordinates': [45.804, 5.68236]}"
France,FR,Bassens,45.5756,5.939,"{'type': 'point', 'coordinates': [45.5756, 5.939]}"
France,FR,Curienne,45.5666,6.00801,"{'type': 'point', 'coordinates': [45.5666, 6.00801]}"
France,FR,Saint-Jean-de-Moirans,45.3451,5.58536,"{'type': 'point', 'coordinates': [45.3451, 5.58536]}"
France,FR,Saint-Bon-Tarentaise,45.4337,6.63686,"{'type': 'point', 'coordinates': [45.4337, 6.63686]}"
France,FR,Méribel,45.415,6.565,"{'type': 'point', 'coordinates': [45.415, 6.565]}"
France,FR,Pugny-Chatenod,45.6993,5.94822,"{'type': 'point', 'coordinates': [45.6993, 5.94822]}"
France,FR,Champier,45.4554,5.29237,"{'type': 'point', 'coordinates': [45.4554, 5.29237]}"
France,FR,Saint-Martin-d'Hères,45.1787,5.76281,"{'type': 'point', 'coordinates': [45.1787, 5.76281]}"
France,FR,Verrens,45.6552,6.31796,"{'type': 'point', 'coordinates': [45.6552, 6.31796]}"
France,FR,Sainte-Hélène-du-Lac,45.4831,6.06532,"{'type': 'point', 'coordinates': [45.4831, 6.06532]}"
France,FR,La Biolle,45.7585,5.92866,"{'type': 'point', 'coordinates': [45.7585, 5.92866]}"
France,FR,Eybens,45.1477,5.75014,"{'type': 'point', 'coordinates': [45.1477, 5.75014]}"
France,FR,Fourneaux,45.1901,6.64919,"{'type': 'point', 'coordinates': [45.1901, 6.64919]}"
France,FR,Notre-Dame-de-Riez,46.7452,-1.90791,"{'type': 'point', 'coordinates': [46.7452, -1.90791]}"
France,FR,Chaudefonds-sur-Layon,47.3251,-0.70693,"{'type': 'point', 'coordinates': [47.3251, -0.70693]}"
France,FR,Boussay,47.0439,-1.18697,"{'type': 'point', 'coordinates': [47.0439, -1.18697]}"
France,FR,Bourneau,46.5396,-0.81746,"{'type': 'point', 'coordinates': [46.5396, -0.81746]}"
France,FR,Vay,47.5546,-1.70172,"{'type': 'point', 'coordinates': [47.5546, -1.70172]}"
France,FR,Pouancé,47.7402,-1.1763,"{'type': 'point', 'coordinates': [47.7402, -1.1763]}"
France,FR,Chavagnes-les-Redoux,46.7167,-0.91927,"{'type': 'point', 'coordinates': [46.7167, -0.91927]}"
France,FR,Piriac-sur-Mer,47.3794,-2.54652,"{'type': 'point', 'coordinates': [47.3794, -2.54652]}"
France,FR,Le Gâvre,47.5206,-1.74815,"{'type': 'point', 'coordinates': [47.5206, -1.74815]}"
France,FR,Champtocé-sur-Loire,47.4134,-0.86559,"{'type': 'point', 'coordinates': [47.4134, -0.86559]}"
France,FR,Brassy,47.262,3.93476,"{'type': 'point', 'coordinates': [47.262, 3.93476]}"
France,FR,Le Loroux-Bottereau,47.238,-1.34963,"{'type': 'point', 'coordinates': [47.238, -1.34963]}"
France,FR,Nantes,47.2184,-1.55362,"{'type': 'point', 'coordinates': [47.2184, -1.55362]}"
France,FR,Savenay,47.3611,-1.94206,"{'type': 'point', 'coordinates': [47.3611, -1.94206]}"
France,FR,Saint-Hilaire-de-Brethmas,44.0811,4.1247,"{'type': 'point', 'coordinates': [44.0811, 4.1247]}"
France,FR,Armissan,43.1878,3.0966,"{'type': 'point', 'coordinates': [43.1878, 3.0966]}"
France,FR,Montaren-et-Saint-Médiers,44.0287,4.3803,"{'type': 'point', 'coordinates': [44.0287, 4.3803]}"
France,FR,Montferrier-sur-Lez,43.6681,3.85686,"{'type': 'point', 'coordinates': [43.6681, 3.85686]}"
France,FR,Ria-Sirach,42.6167,2.4,"{'type': 'point', 'coordinates': [42.6167, 2.4]}"
France,FR,Corneilla-del-Vercol,42.6245,2.95171,"{'type': 'point', 'coordinates': [42.6245, 2.95171]}"
France,FR,Lunel,43.6778,4.13611,"{'type': 'point', 'coordinates': [43.6778, 4.13611]}"
France,FR,Claira,42.7602,2.95606,"{'type': 'point', 'coordinates': [42.7602, 2.95606]}"
France,FR,Juvignac,43.6139,3.81056,"{'type': 'point', 'coordinates': [43.6139, 3.81056]}"
France,FR,Caissargues,43.7957,4.37842,"{'type': 'point', 'coordinates': [43.7957, 4.37842]}"
France,FR,Plumergat,47.7419,-2.91751,"{'type': 'point', 'coordinates': [47.7419, -2.91751]}"
France,FR,Uzès,44.0125,4.41973,"{'type': 'point', 'coordinates': [44.0125, 4.41973]}"
France,FR,Villeneuve les beziers,43.3149,3.28003,"{'type': 'point', 'coordinates': [43.3149, 3.28003]}"
France,FR,Pézenas,43.46,3.42258,"{'type': 'point', 'coordinates': [43.46, 3.42258]}"
France,FR,Hérépian,43.5936,3.11439,"{'type': 'point', 'coordinates': [43.5936, 3.11439]}"
France,FR,Durban-Corbières,42.9962,2.81656,"{'type': 'point', 'coordinates': [42.9962, 2.81656]}"
France,FR,Rennes,48.1173,-1.67779,"{'type': 'point', 'coordinates': [48.1173, -1.67779]}"
France,FR,Larmor-Plage,47.7065,-3.38339,"{'type': 'point', 'coordinates': [47.7065, -3.38339]}"
France,FR,Balazé,48.1692,-1.1924,"{'type': 'point', 'coordinates': [48.1692, -1.1924]}"
France,FR,Le Drennec,48.5344,-4.37243,"{'type': 'point', 'coordinates': [48.5344, -4.37243]}"
France,FR,Pléchâtel,47.8949,-1.74878,"{'type': 'point', 'coordinates': [47.8949, -1.74878]}"
France,FR,Concarneau,47.8754,-3.91896,"{'type': 'point', 'coordinates': [47.8754, -3.91896]}"
France,FR,Chaville,48.8056,2.18864,"{'type': 'point', 'coordinates': [48.8056, 2.18864]}"
France,FR,Dinard,48.6329,-2.06274,"{'type': 'point', 'coordinates': [48.6329, -2.06274]}"
France,FR,Morlaix,48.5778,-3.82792,"{'type': 'point', 'coordinates': [48.5778, -3.82792]}"
France,FR,Ergué-Gabéric,47.9966,-4.02438,"{'type': 'point', 'coordinates': [47.9966, -4.02438]}"
France,FR,Saint-Yvi,47.9675,-3.93465,"{'type': 'point', 'coordinates': [47.9675, -3.93465]}"
France,FR,Meillac,48.4118,-1.81272,"{'type': 'point', 'coordinates': [48.4118, -1.81272]}"
France,FR,Dinan,48.4544,-2.04733,"{'type': 'point', 'coordinates': [48.4544, -2.04733]}"
France,FR,Trévron,48.3917,-2.06279,"{'type': 'point', 'coordinates': [48.3917, -2.06279]}"
France,FR,Trébrivan,48.3084,-3.47494,"{'type': 'point', 'coordinates': [48.3084, -3.47494]}"
France,FR,Bourbriac,48.4751,-3.18745,"{'type': 'point', 'coordinates': [48.4751, -3.18745]}"
France,FR,Lannion,48.7321,-3.45914,"{'type': 'point', 'coordinates': [48.7321, -3.45914]}"
France,FR,Le Vieux-Marché,48.6,-3.45,"{'type': 'point', 'coordinates': [48.6, -3.45]}"
France,FR,Perros-Guirec,48.8141,-3.4437,"{'type': 'point', 'coordinates': [48.8141, -3.4437]}"
France,FR,Minihy-Tréguier,48.7754,-3.22877,"{'type': 'point', 'coordinates': [48.7754, -3.22877]}"
France,FR,Hénansal,48.5419,-2.43459,"{'type': 'point', 'coordinates': [48.5419, -2.43459]}"
France,FR,Saint-Brieuc,48.5142,-2.76584,"{'type': 'point', 'coordinates': [48.5142, -2.76584]}"
France,FR,Trégomeur,48.5659,-2.88325,"{'type': 'point', 'coordinates': [48.5659, -2.88325]}"
France,FR,Vannes,47.6582,-2.76085,"{'type': 'point', 'coordinates': [47.6582, -2.76085]}"
France,FR,Remungol,47.9325,-2.89635,"{'type': 'point', 'coordinates': [47.9325, -2.89635]}"
France,FR,Séné,47.619,-2.737,"{'type': 'point', 'coordinates': [47.619, -2.737]}"
France,FR,Quévert,48.4639,-2.08663,"{'type': 'point', 'coordinates': [48.4639, -2.08663]}"
France,FR,Mouazé,48.2313,-1.61292,"{'type': 'point', 'coordinates': [48.2313, -1.61292]}"
France,FR,Brest,48.3904,-4.48608,"{'type': 'point', 'coordinates': [48.3904, -4.48608]}"
France,FR,Plésidy,48.4485,-3.12334,"{'type': 'point', 'coordinates': [48.4485, -3.12334]}"
France,FR,Plaine-Haute,48.4452,-2.855,"{'type': 'point', 'coordinates': [48.4452, -2.855]}"
France,FR,Plaudren,47.7793,-2.69359,"{'type': 'point', 'coordinates': [47.7793, -2.69359]}"
France,FR,Lorient,47.7483,-3.37024,"{'type': 'point', 'coordinates': [47.7483, -3.37024]}"
France,FR,Berné,47.9953,-3.39208,"{'type': 'point', 'coordinates': [47.9953, -3.39208]}"
France,FR,Taupont,47.9587,-2.43924,"{'type': 'point', 'coordinates': [47.9587, -2.43924]}"
France,FR,Sarzeau,47.5275,-2.76996,"{'type': 'point', 'coordinates': [47.5275, -2.76996]}"
France,FR,Moréac,47.9193,-2.82159,"{'type': 'point', 'coordinates': [47.9193, -2.82159]}"
France,FR,Froissy,49.5677,2.2223,"{'type': 'point', 'coordinates': [49.5677, 2.2223]}"
France,FR,Lille,50.6292,3.05726,"{'type': 'point', 'coordinates': [50.6292, 3.05726]}"
France,FR,Beautor,49.6521,3.34475,"{'type': 'point', 'coordinates': [49.6521, 3.34475]}"
France,FR,Blessy,50.6164,2.33182,"{'type': 'point', 'coordinates': [50.6164, 2.33182]}"
France,FR,Lewarde,50.3417,3.16782,"{'type': 'point', 'coordinates': [50.3417, 3.16782]}"
France,FR,Pecquencourt,50.3785,3.21277,"{'type': 'point', 'coordinates': [50.3785, 3.21277]}"
France,FR,Sainte-Luce-sur-Loire,47.2551,-1.48269,"{'type': 'point', 'coordinates': [47.2551, -1.48269]}"
France,FR,La Rochelle,46.1603,-1.15114,"{'type': 'point', 'coordinates': [46.1603, -1.15114]}"
France,FR,Nesmy,46.591,-1.40167,"{'type': 'point', 'coordinates': [46.591, -1.40167]}"
France,FR,Bais,48.2533,-0.36549,"{'type': 'point', 'coordinates': [48.2533, -0.36549]}"
France,FR,Courcité,48.306,-0.24984,"{'type': 'point', 'coordinates': [48.306, -0.24984]}"
France,FR,Saint-Jean-du-Bois,47.8728,-0.03939,"{'type': 'point', 'coordinates': [47.8728, -0.03939]}"
France,FR,Basse-Goulaine,47.2151,-1.46598,"{'type': 'point', 'coordinates': [47.2151, -1.46598]}"
France,FR,Bouaye,47.1434,-1.68902,"{'type': 'point', 'coordinates': [47.1434, -1.68902]}"
France,FR,Angers,47.4712,-0.551826,"{'type': 'point', 'coordinates': [47.4712, -0.551826]}"
France,FR,Courbevoie,48.8967,2.25666,"{'type': 'point', 'coordinates': [48.8967, 2.25666]}"
France,FR,Sablé-sur-Sarthe,47.8377,-0.33294,"{'type': 'point', 'coordinates': [47.8377, -0.33294]}"
France,FR,Ballon,48.1755,0.23488,"{'type': 'point', 'coordinates': [48.1755, 0.23488]}"
France,FR,Roézé-sur-Sarthe,47.8958,0.06662,"{'type': 'point', 'coordinates': [47.8958, 0.06662]}"
France,FR,La Turballe,47.3457,-2.50699,"{'type': 'point', 'coordinates': [47.3457, -2.50699]}"
